date, pm25, o3, no2, co
2016/9/14, 26, , , 
2016/9/15, 39, , , 
2016/9/16, 16, , , 
2016/9/17, 32, , , 
2016/9/18, 22, , , 
2016/9/19, 35, , , 
2016/9/20, 33, , , 
2016/9/21, 37, , , 
2016/9/22, 40, , , 
2016/9/23, 37, , , 
2016/9/24, 53, , , 
2016/9/25, 17, , , 
2016/9/26, 17, , , 
2016/9/27, 19, , , 
2016/9/28, 33, , , 
2016/9/29, 31, , , 
2016/9/30, 16, , , 
2016/10/1, 13, , , 
2016/4/2, 54, , , 
2016/4/3, 29, , , 
2016/4/4, 30, , , 
2016/4/5, 43, , , 
2016/4/6, 34, , , 
2016/4/7, 30, , , 
2016/4/8, 28, , , 
2016/4/9, 34, , , 
2016/4/10, 48, , , 
2016/4/11, 32, , , 
2016/4/12, 51, , , 
2016/4/13, 39, , , 
2016/4/14, 29, , , 
2016/4/15, 35, , , 
2016/4/16, 38, , , 
2016/4/17, 31, , , 
2016/4/18, 42, , , 
2016/4/19, 50, , , 
2016/4/20, 37, , , 
2016/4/21, 24, , , 
2016/4/22, 45, , , 
2016/4/23, 86, , , 
2016/4/24, 34, , , 
2016/4/25, 25, , , 
2016/4/26, 47, , , 
2016/4/27, 41, , , 
2016/4/28, 20, , , 
2016/4/29, 28, , , 
2016/4/30, 27, , , 
2016/5/1, 26, , , 
2016/5/2, 19, , , 
2016/5/3, 39, , , 
2016/5/4, 22, , , 
2016/5/5, 12, , , 
2016/5/6, 12, , , 
2016/5/7, 17, , , 
2016/5/8, 24, , , 
2016/5/9, 26, , , 
2016/5/10, 45, , , 
2016/5/11, 25, , , 
2016/5/12, 42, , , 
2016/5/13, 57, , , 
2016/5/14, 77, , , 
2016/5/15, 59, , , 
2016/5/16, 27, , , 
2016/5/17, 42, , , 
2016/5/18, 63, , , 
2016/5/19, 57, , , 
2016/5/20, 65, , , 
2016/5/21, 34, , , 
2016/5/22, 32, , , 
2016/5/23, 27, , , 
2016/5/24, 34, , , 
2016/5/25, 43, , , 
2016/5/26, 68, , , 
2016/5/27, 71, , , 
2016/5/28, 77, , , 
2016/5/29, 60, , , 
2016/5/30, 32, , , 
2016/5/31, 25, , , 
2016/6/1, 37, , , 
2016/6/2, 39, , , 
2016/6/3, 33, , , 
2016/6/4, 42, , , 
2016/6/5, 45, , , 
2016/6/6, 21, , , 
2016/6/7, 27, , , 
2016/6/8, 44, , , 
2016/6/9, 22, , , 
2016/6/10, 14, , , 
2016/6/11, 21, , , 
2016/6/12, 58, , , 
2016/6/13, 42, , , 
2016/6/14, 38, , , 
2016/6/15, 24, , , 
2016/6/16, 43, , , 
2016/6/17, 56, , , 
2016/6/18, 42, , , 
2016/6/19, 40, , , 
2016/6/20, 38, , , 
2016/6/21, 39, , , 
2016/6/22, 37, , , 
2016/6/23, 31, , , 
2016/6/24, 60, , , 
2016/6/25, 54, , , 
2016/6/26, 42, , , 
2016/6/27, 44, , , 
2016/6/28, 49, , , 
2016/6/29, 42, , , 
2016/6/30, 29, , , 
2016/7/1, 31, , , 
2016/1/5, 47, , , 
2016/1/6, 69, , , 
2016/1/7, 72, , , 
2016/1/8, 84, , , 
2016/1/9, 63, , , 
2016/1/10, 55, , , 
2016/1/11, 41, , , 
2016/1/12, 45, , , 
2016/1/13, 55, , , 
2016/1/14, 49, , , 
2016/1/15, 61, , , 
2016/1/16, 76, , , 
2016/1/17, 52, , , 
2016/1/18, 43, , , 
2016/1/19, 48, , , 
2016/1/20, 42, , , 
2016/1/21, 42, , , 
2016/1/22, 47, , , 
2016/1/23, 36, , , 
2016/1/24, 34, , , 
2016/1/25, 52, , , 
2016/1/26, 65, , , 
2016/1/27, 89, , , 
2016/1/28, 57, , , 
2016/1/29, 63, , , 
2016/1/30, 59, , , 
2016/1/31, 67, , , 
2016/2/1, 74, , , 
2016/2/2, 72, , , 
2016/2/3, 44, , , 
2016/2/4, 42, , , 
2016/2/5, 49, , , 
2016/2/6, 39, , , 
2016/2/7, 64, , , 
2016/2/8, 65, , , 
2016/2/9, 37, , , 
2016/2/10, 47, , , 
2016/2/11, 62, , , 
2016/2/12, 40, , , 
2016/2/13, 45, , , 
2016/2/14, 52, , , 
2016/2/15, 43, , , 
2016/2/16, 52, , , 
2016/2/17, 58, , , 
2016/2/18, 49, , , 
2016/2/19, 34, , , 
2016/2/20, 39, , , 
2016/2/21, 56, , , 
2016/2/22, 50, , , 
2016/2/23, 39, , , 
2016/2/24, 29, , , 
2016/2/25, 26, , , 
2016/2/26, 43, , , 
2016/2/27, 36, , , 
2016/2/28, 47, , , 
2016/2/29, 66, , , 
2016/3/1, 52, , , 
2016/3/2, 40, , , 
2016/3/3, 51, , , 
2016/3/4, 34, , , 
2016/3/5, 40, , , 
2016/3/6, 40, , , 
2016/3/7, 48, , , 
2016/3/8, 65, , , 
2016/3/9, 83, , , 
2016/3/10, 80, , , 
2016/3/11, 73, , , 
2016/3/12, 26, , , 
2016/3/13, 25, , , 
2016/3/14, 40, , , 
2016/3/15, 21, , , 
2016/3/16, 37, , , 
2016/3/17, 49, , , 
2016/3/18, 33, , , 
2016/3/19, 39, , , 
2016/3/20, 26, , , 
2016/3/21, 22, , , 
