date, pm25, pm10, no2, co
2018/4/19, 68, 38, 35, 
2018/4/20, 76, 46, 41, 
2018/4/21, 85, 45, 36, 
2018/4/22, 91, 33, 24, 
2018/4/23, 70, 36, 33, 
2018/4/24, 68, 35, 27, 
2018/4/25, 63, 32, 19, 
2018/4/26, 57, 31, 27, 
2018/4/27, 59, 35, 26, 
2018/4/28, 59, 36, 24, 
2018/4/29, 65, 31, 19, 
2018/4/30, 65, 17, 16, 
2018/5/1, 34, 13, 17, 
2018/5/2, 13, 13, 30, 
2018/5/3, 38, 24, 25, 
2018/5/4, 53, 31, 32, 
2018/5/5, 61, 27, 27, 
2018/5/6, 55, 28, 25, 
2018/5/7, 61, 23, 28, 
2018/5/8, 50, 22, 30, 
2018/5/9, 46, 18, 31, 
2018/5/10, 50, , 43, 
2018/5/12, 61, 20, 30, 
2018/5/13, 53, 18, 27, 
2018/5/14, 42, 8, 29, 
2018/5/15, 17, 10, 26, 
2018/5/16, 17, 15, 25, 
2018/5/17, 38, 24, 35, 
2018/5/18, 61, 22, 31, 
2018/5/19, 55, 23, 29, 
2018/5/20, 59, 12, 20, 
2018/5/21, 21, 15, 27, 
2018/5/22, 30, 20, 30, 
2018/5/23, 61, 21, 28, 
2018/5/24, 61, 22, 27, 
2018/5/25, 57, 23, 32, 
2018/5/26, 57, 35, 38, 
2018/5/27, 78, 30, 30, 
2018/5/28, 59, 17, 27, 
2018/5/29, 50, 23, 34, 
2018/5/30, 59, 35, 29, 
2018/5/31, 72, 25, 20, 
2018/6/1, 59, 23, 22, 
2018/6/2, 46, 19, 16, 
2018/6/3, 38, 17, 14, 
2018/6/4, 38, 29, 29, 
2018/6/5, 63, 27, 21, 
2018/6/6, 59, 19, 22, 
2018/6/7, 38, 15, 21, 
2018/6/8, 34, 15, 30, 
2018/6/9, 38, 17, 17, 
2018/6/10, 34, 20, 15, 
2018/6/11, 42, 30, 29, 
2018/6/12, 57, 30, 31, 
2018/6/13, 53, 17, 23, 
2018/6/14, 34, 13, 23, 
2018/6/15, 21, 16, 25, 
2018/6/16, 38, 20, 25, 
2018/6/17, 46, 19, 19, 
2018/6/18, 57, 18, 34, 
2018/6/19, 46, 23, 36, 
2018/6/20, 53, 22, 34, 
2018/6/21, 61, 28, 33, 
2018/6/22, 61, 24, 29, 
2018/6/23, 38, 17, 21, 
2018/6/24, 34, 17, 15, 
2018/6/25, 38, 20, 28, 
2018/6/26, 42, 14, 26, 
2018/6/27, 25, 23, 32, 
2018/6/28, 53, 15, 26, 
2018/6/29, 30, 21, , 
2018/6/30, 46, 20, , 
2018/7/1, 53, 23, , 
2018/1/6, 137, 43, 34, 
2018/1/7, 119, 52, 27, 
2018/1/8, 109, 26, 29, 
2018/1/9, 59, 19, 31, 
2018/1/10, 38, 30, , 
2018/1/11, 78, 46, , 
2018/1/12, 102, 48, 31, 
2018/1/13, 99, 50, 33, 
2018/1/14, 109, 52, 27, 
2018/1/15, 132, 55, 31, 
2018/1/16, 142, 52, 30, 
2018/1/17, 129, 50, 40, 
2018/1/18, 117, 40, 45, 
2018/1/19, 87, 48, 55, 
2018/1/20, 93, 58, 42, 
2018/1/21, 139, 13, 33, 
2018/1/22, 42, 37, 37, 
2018/1/23, 82, 62, 49, 
2018/1/24, 152, 60, 36, 
2018/1/25, 147, 64, 44, 
2018/1/26, 153, 69, 33, 
2018/1/27, 154, 45, 27, 
2018/1/28, 112, 50, 31, 
2018/1/29, 109, 55, 37, 
2018/1/30, 132, 43, 40, 
